Network,School ID,School Name,Total,PE,PK,K,01,02,03,04,05,06,07,08,09,10,11,12
Network 8,610563,Back of the Yards IB HS," 1,044 ",,,,,,,,,,,,279,256,262,247
Network 8,610317,Brighton Park Elementary School, 490 ,9,25,41,43,39,59,47,40,51,74,62,,,,
Network 8,610353,Calmeca Academy of Fine Arts and Dual Language, 807 ,21,43,75,88,74,85,87,76,90,82,86,,,,
Network 8,610170,Columbia Explorers Elementary Academy," 1,165 ",33,63,94,111,103,131,127,137,122,116,128,,,,
Network 8,609909,Edward Everett Elementary School, 200 ,14,29,25,25,25,30,27,25,,,,,,,
Network 8,609735,Edward Tilden Career Community Academy HS, 280 ,,,,,,,,,,,,67,83,73,57
Network 8,609682,Ellen H Richards Career Academy High School, 252 ,,,,,,,,,,,,58,81,68,45
Network 8,610319,Evergreen Academy Middle School, 303 ,,,,,,,,,114,99,90,,,,
Network 8,609709,Gage Park High School, 336 ,,,,,,,,,,,,94,87,80,75
Network 8,610532,Irene C. Hernandez Middle School for the Advancement of Science," 1,045 ",,,,,,,,,339,354,352,,,,
Network 8,609983,James Hedges Elementary School, 692 ,17,54,62,66,77,81,83,69,64,67,52,,,,
Network 8,610174,James Shields Elementary School, 957 ,38,97,127,149,190,198,158,,,,,,,,
Network 8,610559,James Shields Middle School, 654 ,,,,,,,,130,174,178,172,,,,
Network 8,609829,John C Burroughs Elementary School, 481 ,20,32,40,52,52,45,50,44,46,51,49,,,,
Network 8,609964,John H Hamline Elementary School, 610 ,11,39,57,59,58,73,60,69,74,60,50,,,,
Network 8,609694,John Hancock College Preparatory High School, 892 ,,,,,,,,,,,,225,209,235,223
Network 8,610117,Louis Pasteur Elementary School," 1,266 ",12,28,133,119,149,149,164,136,124,126,126,,,,
Network 8,609756,Marie Sklodowska Curie Metropolitan High School," 2,951 ",,,,,,,,,,,,754,752,814,631
Network 8,609876,Nathan S Davis Elementary School, 776 ,36,69,62,67,87,87,81,79,71,69,68,,,,
Network 8,609952,Nathanael Greene Elementary School, 554 ,7,24,62,82,78,109,101,91,,,,,,,
Network 8,610239,Richard J Daley Elementary Academy, 612 ,13,16,59,62,54,70,72,67,68,63,68,,,,
Network 8,610157,Sidney Sawyer Elementary School," 1,660 ",,,137,137,192,210,200,189,220,189,186,,,,
Network 8,610226,Socorro Sandoval Elementary School," 1,014 ",3,28,115,149,170,183,198,168,,,,,,,
Network 8,609715,Thomas Kelly High School," 2,075 ",,,,,,,,,,,,532,619,446,478
Network 8,610504,Velma F Thomas Early Childhood Center, 161 ,54,107,,,,,,,,,,,,,
Network 8,609855,Walter S Christopher Elementary School, 390 ,,,26,22,42,47,52,48,50,51,52,,,,
Network 8,610167,William H Seward Communication Arts Academy ES, 738 ,12,37,70,76,69,88,77,79,76,77,77,,,,
Network 9,610175,Beulah Shoesmith Elementary School, 355 ,,,38,50,51,52,58,57,49,,,,,,
Network 9,609969,Bret Harte Elementary School, 330 ,12,19,19,30,28,31,36,42,31,41,41,,,,
Network 9,610381,Bronzeville Scholastic Academy High School, 376 ,,,,,,,,,,,,57,110,108,101
Network 9,610345,Carter G Woodson South Elementary School, 342 ,2,19,34,38,33,41,34,41,38,29,33,,,,
Network 9,610030,Charles Kozminski Elementary Community Academy, 285 ,12,20,30,27,16,28,28,27,28,42,27,,,,
